page_type,page,keyword,avg_monthly,competition,source_run,source_file,recommendation,reason
L2 Product,Mirrors & Cabinets,bathroom mirror shop near me,500,High,2.0,mirrors-wide.csv,Keep,Relevant
L2 Product,Mirrors & Cabinets,bathroom cabinets chennai,50,High,2.0,mirrors-wide.csv,Keep,Relevant
L2 Product,Mirrors & Cabinets,bathroom mirror cabinet chennai,50,High,2.0,mirrors-wide.csv,Keep,Relevant
L2 Product,Mirrors & Cabinets,bathroom mirror low price,50,High,2.0,mirrors-wide.csv,Keep,Relevant
L2 Product,Mirrors & Cabinets,bathroom mirror price,50,High,2.0,mirrors-wide.csv,Keep,Relevant
L2 Product,Mirrors & Cabinets,bathroom mirror stores near me,50,Unknown,2.0,mirrors-wide.csv,Keep,Relevant
L2 Product,Mirrors & Cabinets,bathroom mirrors chennai,50,High,2.0,mirrors-wide.csv,Keep,Relevant
L2 Product,Mirrors & Cabinets,bathroom mirrors for sale near me,50,Unknown,2.0,mirrors-wide.csv,Keep,Relevant
L2 Product,Mirrors & Cabinets,bathroom mirrors near me,50,High,2.0,mirrors-wide.csv,Keep,Relevant
L2 Product,Mirrors & Cabinets,bathroom vanity mirrors near me,50,High,2.0,mirrors-wide.csv,Keep,Relevant
L2 Product,Mirrors & Cabinets,led bathroom mirrors near me,50,Low,2.0,mirrors-wide.csv,Keep,Relevant
L2 Product,Mirrors & Cabinets,led mirror chennai,50,High,2.0,mirrors-wide.csv,Keep,Relevant
L2 Product,Water Heaters,ao smith 10 litre geyser price,50,High,2.0,ao-smith-wide.csv,Keep,Relevant
L2 Product,Water Heaters,ao smith 15 litre geyser price,50,High,2.0,ao-smith-wide.csv,Keep,Relevant
L2 Product,Water Heaters,ao smith 25 litre geyser price,50,High,2.0,ao-smith-wide.csv,Keep,Relevant
L2 Product,Water Heaters,ao smith 3 litre geyser price,50,Unknown,2.0,ao-smith-wide.csv,Keep,Relevant
L2 Product,Water Heaters,ao smith 5 litre geyser price,50,High,2.0,ao-smith-wide.csv,Keep,Relevant
L2 Product,Water Heaters,ao smith 6 litre geyser price,50,High,2.0,ao-smith-wide.csv,Keep,Relevant
L2 Product,Water Heaters,ao smith 6 litre water heater price,50,High,2.0,ao-smith-wide.csv,Keep,Relevant
L2 Product,Water Heaters,ao smith faston geyser 3 ltr price,50,Unknown,2.0,ao-smith-wide.csv,Keep,Relevant
L2 Product,Water Heaters,ao smith gas geyser price,50,Unknown,2.0,ao-smith-wide.csv,Keep,Relevant
L2 Product,Water Heaters,ao smith geyser 10 ltr price,50,High,2.0,ao-smith-wide.csv,Keep,Relevant
L2 Product,Water Heaters,ao smith geyser 10 ltr price 5 star,50,High,2.0,ao-smith-wide.csv,Keep,Relevant
L2 Product,Water Heaters,ao smith geyser 15 ltr price,50,High,2.0,ao-smith-wide.csv,Keep,Relevant
L2 Product,Floor Drains,floor drain price,50,Unknown,2.0,floor-drain-wide.csv,Keep,Relevant
L2 Product,Floor Drains,bathroom drain,500,High,2.0,floor-drain-wide.csv,Maybe,Good term but weak local signal
L2 Product,Floor Drains,1 1 2 shower drain,50,Unknown,2.0,floor-drain-wide.csv,Maybe,Low and non-local signal
L2 Product,Floor Drains,2 shower drain,50,Unknown,2.0,floor-drain-wide.csv,Maybe,Low and non-local signal
L2 Product,Floor Drains,3 shower drain,50,Unknown,2.0,floor-drain-wide.csv,Maybe,Low and non-local signal
L2 Product,Floor Drains,4 1 4 shower drain,50,Unknown,2.0,floor-drain-wide.csv,Maybe,Low and non-local signal
L2 Product,Floor Drains,4 shower drain,50,Unknown,2.0,floor-drain-wide.csv,Maybe,Low and non-local signal
L2 Product,Floor Drains,aco linear drain,50,Low,2.0,floor-drain-wide.csv,Maybe,Low and non-local signal
L2 Product,Floor Drains,aco shower drain,50,High,2.0,floor-drain-wide.csv,Maybe,Low and non-local signal
L2 Product,Floor Drains,adjustable linear drain,50,Unknown,2.0,floor-drain-wide.csv,Maybe,Low and non-local signal
L2 Product,Floor Drains,adjustable linear shower drain,50,Unknown,2.0,floor-drain-wide.csv,Maybe,Low and non-local signal
L2 Product,Floor Drains,adjustable shower drain,50,Unknown,2.0,floor-drain-wide.csv,Maybe,Low and non-local signal
L2 Product,Differently-Abled Bath Products,handicap toilet accessories near me,50,High,2.0,differently-abled-wide.csv,Keep,Relevant
L2 Product,Differently-Abled Bath Products,accessible bathroom shower,50,Unknown,2.0,differently-abled-wide.csv,Maybe,Low and non-local signal
L2 Product,Differently-Abled Bath Products,accessories for disabled bathroom,50,High,2.0,differently-abled-wide.csv,Maybe,Low and non-local signal
L2 Product,Differently-Abled Bath Products,accessories for handicapped bathrooms,50,High,2.0,differently-abled-wide.csv,Maybe,Low and non-local signal
L2 Product,Differently-Abled Bath Products,ada handicap stall,50,Low,2.0,differently-abled-wide.csv,Maybe,Low and non-local signal
L2 Product,Differently-Abled Bath Products,bath aids for disabled,50,Unknown,2.0,differently-abled-wide.csv,Maybe,Low and non-local signal
L2 Product,Differently-Abled Bath Products,bath aids for disabled people,50,Unknown,2.0,differently-abled-wide.csv,Maybe,Low and non-local signal
L2 Product,Differently-Abled Bath Products,bath aids for disabled persons,50,Unknown,2.0,differently-abled-wide.csv,Maybe,Low and non-local signal
L2 Product,Differently-Abled Bath Products,bath chair for disabled,50,High,2.0,differently-abled-wide.csv,Maybe,Low and non-local signal
L2 Product,Differently-Abled Bath Products,bath chair for disabled adults,50,Unknown,2.0,differently-abled-wide.csv,Maybe,Low and non-local signal
L2 Product,Differently-Abled Bath Products,bath lifts for disabled,50,Unknown,2.0,differently-abled-wide.csv,Maybe,Low and non-local signal
L2 Product,Differently-Abled Bath Products,bath seats for handicapped,50,Unknown,2.0,differently-abled-wide.csv,Maybe,Low and non-local signal
L2 Product,Public Restroom Solutions,toilet partitions near me,50,Unknown,2.0,public-wide.csv,Keep,Relevant
L2 Product,Public Restroom Solutions,commercial restroom,50,Unknown,2.0,public-wide.csv,Maybe,Low and non-local signal
L2 Product,Public Restroom Solutions,commercial restroom mirrors,50,Unknown,2.0,mirrors-wide.csv,Maybe,Low and non-local signal
L2 Product,Public Restroom Solutions,commercial restroom partitions,50,High,2.0,public-wide.csv,Maybe,Low and non-local signal
